date,mean_surface_pressure_hPa
01/08/2019,1009.8558
02/08/2019,1009.9768
03/08/2019,1009.14777
04/08/2019,1009.1288
05/08/2019,1008.9269
06/08/2019,1008.39136
07/08/2019,1007.66223
08/08/2019,1008.45715
09/08/2019,1008.3005
10/08/2019,1008.46124
11/08/2019,1008.78656
12/08/2019,1009.088
13/08/2019,1009.6952
14/08/2019,1010.0101
15/08/2019,1010.2288
16/08/2019,1010.1423
17/08/2019,1010.32715
18/08/2019,1010.1468
19/08/2019,1009.87823
20/08/2019,1008.91266
21/08/2019,1008.761
22/08/2019,1009.9704
23/08/2019,1009.49426
24/08/2019,1009.14185
25/08/2019,1008.63403
26/08/2019,1008.29816
27/08/2019,1009.047
28/08/2019,1009.5308
29/08/2019,1009.0741
30/08/2019,1007.86035
31/08/2019,1007.5012
01/09/2019,1008.6939
02/09/2019,1008.5359
03/09/2019,1008.939
04/09/2019,1009.20575
05/09/2019,1009.1429
06/09/2019,1009.5534
07/09/2019,1009.9039
08/09/2019,1009.9884
09/09/2019,1009.9799
10/09/2019,1010.4219
11/09/2019,1010.6554
12/09/2019,1011.26996
13/09/2019,1010.6237
14/09/2019,1009.922
15/09/2019,1008.72
16/09/2019,1008.6431
17/09/2019,1009.76196
18/09/2019,1009.88336
19/09/2019,1009.5726
20/09/2019,1008.91925
21/09/2019,1008.84094
22/09/2019,1009.58636
23/09/2019,1009.7561
24/09/2019,1009.6913
25/09/2019,1009.0632
26/09/2019,1009.7027
27/09/2019,1009.86945
28/09/2019,1009.41766
29/09/2019,1009.5826
30/09/2019,1009.4233
01/10/2019,1009.3037
02/10/2019,1009.48755
03/10/2019,1009.23785
04/10/2019,1008.53625
05/10/2019,1007.98004
06/10/2019,1008.18835
07/10/2019,1007.9237
08/10/2019,1007.7412
09/10/2019,1007.8186
10/10/2019,1008.2606
11/10/2019,1007.6885
12/10/2019,1007.2613
13/10/2019,1007.4682
14/10/2019,1007.8567
15/10/2019,1007.5075
16/10/2019,1007.5635
17/10/2019,1007.1189
18/10/2019,1007.19617
19/10/2019,1007.83856
20/10/2019,1007.78375
21/10/2019,1006.42523
22/10/2019,1005.9554
23/10/2019,1006.468
24/10/2019,1007.03754
25/10/2019,1006.95605
26/10/2019,1006.7165
27/10/2019,1006.0862
28/10/2019,1006.5808
29/10/2019,1006.6402
30/10/2019,1006.1083
31/10/2019,1006.11597
01/11/2019,1006.4167
02/11/2019,1007.519
03/11/2019,1008.1899
04/11/2019,1008.6521
05/11/2019,1006.8767
06/11/2019,1006.3118
07/11/2019,1007.0396
08/11/2019,1008.02203
09/11/2019,1007.9183
10/11/2019,1007.0124
11/11/2019,1006.62823
12/11/2019,1007.8622
13/11/2019,1008.1116
14/11/2019,1007.4617
15/11/2019,1007.0969
16/11/2019,1007.7843
17/11/2019,1007.449
18/11/2019,1006.8073
19/11/2019,1006.5791
20/11/2019,1006.48254
21/11/2019,1006.9236
22/11/2019,1007.5017
23/11/2019,1007.278
24/11/2019,1007.29675
25/11/2019,1006.75616
26/11/2019,1005.83527
27/11/2019,1005.8343
28/11/2019,1005.8457
