Date,Kabupaten,Price
2025-02-02,Bangkalan,Rp. 14.150
2025-02-03,Bangkalan,Rp. 14.150
2025-02-04,Bangkalan,Rp. 14.150
2025-02-05,Bangkalan,Rp. 14.000
2025-02-06,Bangkalan,Rp. 14.150
2025-02-07,Bangkalan,Rp. 14.150
2025-02-08,Bangkalan,Rp. 14.150
2025-02-09,Bangkalan,Rp. 14.150
2025-02-10,Bangkalan,Rp. 14.150
2025-02-11,Bangkalan,Rp. 14.150
2025-02-12,Bangkalan,Rp. 14.000
2025-02-13,Bangkalan,Rp. 14.150
2025-02-14,Bangkalan,Rp. 14.150
2025-02-15,Bangkalan,Rp. 14.150
2025-02-16,Bangkalan,Rp. 14.150
2025-02-17,Bangkalan,Rp. 14.150
2025-02-18,Bangkalan,Rp. 14.150
2025-02-19,Bangkalan,Rp. 14.150
2025-02-20,Bangkalan,Rp. 14.250
2025-02-21,Bangkalan,Rp. 14.250
2025-02-22,Bangkalan,Rp. 14.250
2025-02-23,Bangkalan,Rp. 14.250
2025-02-24,Bangkalan,Rp. 14.250
2025-02-25,Bangkalan,Rp. 14.250
2025-02-26,Bangkalan,Rp. 14.150
2025-02-27,Bangkalan,Rp. 14.150
2025-02-28,Bangkalan,Rp. 14.250
2025-03-01,Bangkalan,Rp. 14.250
