date,mean_surface_pressure_hPa
2025-02-02,1004.2132
2025-02-03,1004.48114
2025-02-04,1004.47876
2025-02-05,1003.7832
2025-02-06,1004.8469
2025-02-07,1005.39746
2025-02-08,1004.74945
2025-02-09,1004.8472
2025-02-10,1005.63544
2025-02-11,1006.8484
2025-02-12,1007.3024
2025-02-13,1006.8983
2025-02-14,1006.281
2025-02-15,1006.43164
2025-02-16,1007.2296
2025-02-17,1008.34863
2025-02-18,1007.6669
2025-02-19,1007.4742
2025-02-20,1007.6035
2025-02-21,1007.63727
2025-02-22,1007.49335
2025-02-23,1009.6607
2025-02-24,1009.5808
